D:\Mr Tuan white\Tuan\CONG TRINH\An Giang\Cau Long Binh\TKKT\Ho so xuat\2010-09\30080 & 30090_Bo tri dau mo A1, A2-cau Kenh-new2.dwg,Dau mo cau Kenh so 2,11/17/2010 3:46:56 PM,Admin,HP LaserJet 5100 PCL 6,A3,1:1,
D:\01. MR BROWN\01. CONG VIEC\00. TL_MT Expressway\02. Package 1,2,4\01. Fully worked-out 121210 _ new\Flyover 3\03. Railing-Drainage-Lighting\Parapet-Drainage-Lighting OP3.dwg,OP3-4,12/14/2010 2:55:32 PM,Admin,HP LaserJet 5100 PCL 6,A3,1:1,
D:\01. MR BROWN\01. CONG VIEC\00. TL_MT Expressway\02. Package 1,2,4\01. Fully worked-out 121210 _ new\Flyover 4\03. Railing-Drainage-Lighting\Parapet-Drainage-Lighting OP4.dwg,OP3-4,12/14/2010 2:56:56 PM,Admin,HP LaserJet 5100 PCL 6,A3,1:1,
D:\01. MR BROWN\01. CONG VIEC\00. TL_MT Expressway\02. Package 1,2,4\01. Fully worked-out 121210 _ new\Flyover 6\03. Railing-Drainage-Lighting\Parapet-Drainage-Lighting OP6.dwg,OP6,12/14/2010 2:58:07 PM,Admin,HP LaserJet 5100 PCL 6,A3,1:1,
D:\01. MR BROWN\01. CONG VIEC\00. TL_MT Expressway\02. Package 1,2,4\01. Fully worked-out 121210 _ new\Flyover 3\04. Slope protection of Abut\Slope protection of Abut OP3.dwg,Layout1,12/14/2010 4:13:49 PM,Admin,HP LaserJet 5100 PCL 6,A3,1:1,
D:\01. MR BROWN\01. CONG VIEC\00. TL_MT Expressway\02. Package 1,2,4\01. Fully worked-out 121210 _ new\Flyover 4\04. Slope protection of Abut\Slope protection of Abut OP4.dwg,Layout1,12/14/2010 4:16:08 PM,Admin,HP LaserJet 5100 PCL 6,A3,1:1,
D:\01. MR BROWN\01. CONG VIEC\00. TL_MT Expressway\02. Package 1,2,4\01. Fully worked-out 121210 _ new\Flyover 6\04. Slope protection of Abut\Slope protection of Abut OP6.dwg,Layout1,12/14/2010 4:18:33 PM,Admin,HP LaserJet 5100 PCL 6,A3,1:1,
D:\01. MR BROWN\01. CONG VIEC\00. TL_MT Expressway\02. Package 1,2,4\01. Fully worked-out 121210 _ new\Flyover 2\04. Slope protection of Abut\OP2.dwg,Layout1,12/14/2010 4:21:08 PM,Admin,HP LaserJet 5100 PCL 6,A3,1:1,
D:\01. MR BROWN\01. CONG VIEC\00. TL_MT Expressway\02. Package 1,2,4\01. Fully worked-out 121210 _ new\Flyover 4\04. Slope protection of Abut\Slope protection of Abut OP4.dwg,Layout1,12/14/2010 4:27:08 PM,Admin,HP LaserJet 5100 PCL 6,A3,1:1,
D:\01. MR BROWN\01. CONG VIEC\00. TL_MT Expressway\02. Package 1,2,4\01. Fully worked-out 121210 _ new\Flyover 4\05. Traffic safety\Plan of traffic safety system OP4_mau 3.dwg,op3,12/15/2010 5:46:18 PM,Admin,HP Designjet T1100ps 44in HPGL2.pc3,840*297 (landscape),1:25.4,
D:\01. MR BROWN\01. CONG VIEC\00. TL_MT Expressway\02. Package 1,2,4\01. Fully worked-out 121210 _ new\Flyover 3\04. Slope protection of Abut\Slope protection of Abut OP3.dwg,Layout1,12/18/2010 4:19:44 PM,Admin,HP LaserJet 5100 PCL 6,A3,1:1,
D:\01. MR BROWN\01. CONG VIEC\00. TL_MT Expressway\02. Package 1,2,4\01. Fully worked-out 121210 _ new\Flyover 3\04. Slope protection of Abut\Slope protection of Abut OP3.dwg,Layout1,12/18/2010 4:20:32 PM,Admin,HP LaserJet 5100 PCL 6,A3,1:1,
D:\01. MR BROWN\01. CONG VIEC\00. TL_MT Expressway\02. Package 1,2,4\01. Fully worked-out 121210 _ new\Flyover 3\04. Slope protection of Abut\Slope protection of Abut OP3.dwg,Layout1,12/18/2010 4:20:56 PM,Admin,HP LaserJet 5100 PCL 6,A3,1:1,
D:\01. MR BROWN\01. CONG VIEC\00. TL_MT Expressway\02. Package 1,2,4\01. Fully worked-out 121210 _ new\Flyover 4\04. Slope protection of Abut\Slope protection of Abut OP4.dwg,op4,12/18/2010 4:21:32 PM,Admin,HP LaserJet 5100 PCL 6,A3,1:1,
D:\01. MR BROWN\01. CONG VIEC\00. TL_MT Expressway\02. Package 1,2,4\01. Fully worked-out 121210 _ new\Flyover 4\04. Slope protection of Abut\Slope protection of Abut OP4.dwg,op4,12/18/2010 4:21:46 PM,Admin,HP LaserJet 5100 PCL 6,A3,1:1,
D:\01. MR BROWN\01. CONG VIEC\00. TL_MT Expressway\02. Package 1,2,4\01. Fully worked-out 121210 _ new\Flyover 2\04. Slope protection of Abut\OP2.dwg,Layout1,12/18/2010 4:24:54 PM,Admin,HP LaserJet 5100 PCL 6,A3,1:1,
D:\01. MR BROWN\01. CONG VIEC\00. TL_MT Expressway\02. Package 1,2,4\01. Fully worked-out 121210 _ new\Flyover 2\04. Slope protection of Abut\OP2.dwg,Layout1,12/18/2010 4:25:10 PM,Admin,HP LaserJet 5100 PCL 6,A3,1:1,
D:\01. MR BROWN\01. CONG VIEC\00. TL_MT Expressway\02. Package 1,2,4\01. Fully worked-out 121210 _ new\Flyover 2\04. Slope protection of Abut\OP2.dwg,Layout1,12/18/2010 4:25:27 PM,Admin,HP LaserJet 5100 PCL 6,A3,1:1,
